City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Salinas,US,36.6777,-121.6555,48.81,78,40,0.0,scattered clouds
80,Grindavik,IS,63.8424,-22.4338,41.47,93,75,19.57,broken clouds
81,Shumskiy,RU,54.8318,99.1328,23.09,80,100,2.1,overcast clouds
82,Namibe,AO,-15.1961,12.1522,68.97,78,53,3.36,broken clouds
83,Otjiwarongo,NA,-20.4637,16.6477,68.41,70,100,11.52,overcast clouds
84,Tiksi,RU,71.6872,128.8694,-18.4,99,98,3.62,overcast clouds
85,Bandarbeyla,SO,9.4942,50.8122,77.68,76,59,20.69,light rain
86,Aquin,HT,18.2833,-73.4,75.11,82,0,3.76,clear sky
87,Whitehorse,CA,60.7161,-135.0538,6.03,77,90,11.01,light snow
88,Esperance,AU,-33.8667,121.9,60.55,66,97,20.29,overcast clouds
89,Awjilah,LY,29.1081,21.2869,54.7,51,34,8.32,scattered clouds
90,Tigzirt,DZ,36.8886,4.1198,53.67,81,42,3.67,scattered clouds
91,Kristinehamn,SE,59.3098,14.1081,32.56,93,100,4.25,overcast clouds
92,Mareeba,AU,-17.0,145.4333,91.44,60,52,9.15,broken clouds
93,Olafsvik,IS,64.8945,-23.7142,40.01,92,99,20.36,overcast clouds
94,Necochea,AR,-38.5473,-58.7368,70.03,83,79,10.96,broken clouds
95,Paso De Carrasco,UY,-34.8603,-56.0522,66.34,77,0,8.05,clear sky
96,Grand Gaube,MU,-20.0064,57.6608,82.38,61,28,11.99,scattered clouds
97,Flin Flon,CA,54.7682,-101.865,11.86,94,100,5.37,overcast clouds
98,Saint George,US,37.1041,-113.5841,40.32,58,1,3.0,clear sky
99,Pevek,RU,69.7008,170.3133,-35.68,97,42,5.86,scattered clouds
100,Kieta,PG,-6.2167,155.6333,85.39,73,95,3.42,light rain
101,Razole,IN,16.4833,81.8333,82.69,62,41,8.34,scattered clouds
102,Aranos,NA,-24.1333,19.1167,73.56,51,100,3.85,overcast clouds
103,Gat,IL,31.61,34.7642,64.9,40,73,1.61,broken clouds
104,Hofn,IS,64.2539,-15.2082,41.79,92,100,18.01,overcast clouds
